
Symbol table '.symtab' contains 134 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
    87: 000016d8     0 NOTYPE  LOCAL  DEFAULT    2 .L130
    88: 000016ef     0 NOTYPE  LOCAL  DEFAULT    2 .L128
    89: 00001ad3     0 NOTYPE  LOCAL  DEFAULT    2 .L162
    90: 00001aea     0 NOTYPE  LOCAL  DEFAULT    2 .L161
    91: 00001b01     0 NOTYPE  LOCAL  DEFAULT    2 .L160
    92: 00001b18     0 NOTYPE  LOCAL  DEFAULT    2 .L159
    93: 00001b2f     0 NOTYPE  LOCAL  DEFAULT    2 .L158
    94: 00001b46     0 NOTYPE  LOCAL  DEFAULT    2 .L157
    95: 00001b5d     0 NOTYPE  LOCAL  DEFAULT    2 .L155
    96: 00001c22     0 NOTYPE  LOCAL  DEFAULT    2 .L173
    97: 00001c36     0 NOTYPE  LOCAL  DEFAULT    2 .L172
    98: 00001c45     0 NOTYPE  LOCAL  DEFAULT    2 .L171
    99: 00001c54     0 NOTYPE  LOCAL  DEFAULT    2 .L170
   100: 00001c68     0 NOTYPE  LOCAL  DEFAULT    2 .L169
   101: 00001c77     0 NOTYPE  LOCAL  DEFAULT    2 .L168
   102: 00001c8b     0 NOTYPE  LOCAL  DEFAULT    2 .L167
   103: 00001c9f     0 NOTYPE  LOCAL  DEFAULT    2 .L165
   104: 00000000     0 SECTION LOCAL  DEFAULT    9 
   105: 00000000     0 SECTION LOCAL  DEFAULT    1 
   106: 00000004     4 OBJECT  GLOBAL DEFAULT  COM OStype
   107: 00000004     4 OBJECT  GLOBAL DEFAULT  COM fp
   108: 00000004     4 OBJECT  GLOBAL DEFAULT  COM fname
   109: 00000020  9999 OBJECT  GLOBAL DEFAULT  COM strtable
   110: 00000040  1040 FUNC    GLOBAL DEFAULT    2 ELF_header_64_parse
   111: 00000000     0 FUNC    GLOBAL HIDDEN     8 __x86.get_pc_thunk.bx
   112: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND _GLOBAL_OFFSET_TABLE_
   113: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND fseek
   114: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND fread
   115: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND puts
   116: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND printf
   117: 00000450  1548 FUNC    GLOBAL DEFAULT    2 section_header_64_parse
   118: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND putchar
   119: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND strlen
   120: 00000000     0 NOTYPE  GLOBAL HIDDEN   UND __stack_chk_fail_local
   121: 00000a5c  1186 FUNC    GLOBAL DEFAULT    2 program_header_64_parse
   122: 00000efe  1028 FUNC    GLOBAL DEFAULT    2 ELF_header_32_parse
   123: 00001302  1591 FUNC    GLOBAL DEFAULT    2 section_header_32_parse
   124: 00001939  1190 FUNC    GLOBAL DEFAULT    2 program_header_32_parse
   125: 00001ddf   166 FUNC    GLOBAL DEFAULT    2 print64
   126: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND stdout
   127: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND freopen
   128: 00001e85   166 FUNC    GLOBAL DEFAULT    2 print32
   129: 00001f2b   536 FUNC    GLOBAL DEFAULT    2 main
   130: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND __isoc99_scanf
   131: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND fopen
   132: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND exit
   133: 00000000     0 NOTYPE  GLOBAL DEFAULT  UND memset
